,profit,fees,balance,position,streak
684495,0.0,0.0,1000.0,0.0,1.0
684496,0.0,0.25,999.75,2,1.0
684497,0.0,0.0,999.75,2,1.0
684498,0.0,0.25,999.5,0,1.0
684499,0.0,0.25,999.25,1,1.0
684500,0.0,0.25,999.0,0,1.0
684501,0.0,0.0,999.0,0,1.0
684502,0.0,0.25,998.75,1,1.0
684503,0.0,0.0,998.75,1,1.0
684504,12.5,0.25,1011.0,0,1.0
684505,0.0,0.0,1011.0,0,1.0
684506,0.0,0.0,1011.0,0,1.0
684507,0.0,0.25,1010.75,1,1.0
684508,12.5,0.25,1023.0,2,1.0
684509,0.0,0.0,1023.0,2,1.0
684510,0.0,0.25,1022.75,0,1.0
684511,0.0,0.25,1022.5,2,1.0
684512,0.0,0.25,1022.25,0,1.0
684513,0.0,0.0,1022.25,0,1.0
684514,0.0,0.25,1022.0,1,1.0
684515,0.0,0.25,1021.75,0,1.0
684516,0.0,0.0,1021.75,0,1.0
684517,0.0,0.0,1021.75,0,1.0
684518,0.0,0.0,1021.75,0,1.0
684519,0.0,0.25,1021.5,1,1.0
684520,12.5,0.25,1033.75,0,1.0
684521,0.0,0.25,1033.5,2,1.0
684522,0.0,0.25,1033.25,1,1.0
684523,0.0,0.25,1033.0,0,1.0
684524,0.0,0.25,1032.75,2,1.0
684525,0.0,0.0,1032.75,2,1.0
684526,0.0,0.0,1032.75,2,1.0
684527,0.0,0.0,1032.75,2,1.0
684528,0.0,0.0,1032.75,2,1.0
684529,12.5,0.25,1045.0,0,1.0
684530,0.0,0.25,1044.75,1,1.0
684531,0.0,0.0,1044.75,1,1.0
684532,0.0,0.0,1044.75,1,1.0
684533,0.0,0.25,1044.5,0,1.0
684534,0.0,0.0,1044.5,0,1.0
684535,0.0,0.25,1044.25,1,1.0
684536,0.0,0.25,1044.0,2,1.0
684537,0.0,0.25,1043.75,1,1.0
684538,0.0,0.0,1043.75,1,1.0
684539,0.0,0.25,1043.5,2,1.0
684540,12.5,0.25,1055.75,1,1.0
684541,0.0,0.0,1055.75,1,1.0
684542,0.0,0.25,1055.5,2,1.0
684543,0.0,0.25,1055.25,0,1.0
684544,0.0,0.0,1055.25,0,1.0
684545,0.0,0.0,1055.25,0,1.0
684546,0.0,0.25,1055.0,1,1.0
684547,0.0,0.25,1054.75,0,1.0
684548,0.0,0.25,1054.5,2,1.0
684549,0.0,0.25,1054.25,1,1.0
684550,0.0,0.0,1054.25,1,1.0
684551,-12.5,0.25,1041.5,0,1.0
684552,0.0,0.25,1041.25,2,1.0
684553,0.0,0.0,1041.25,2,1.0
684554,12.5,0.25,1053.5,0,1.0
684555,0.0,0.25,1053.25,2,1.0
684556,0.0,0.25,1053.0,1,1.0
684557,0.0,0.0,1053.0,1,1.0
684558,-12.5,0.25,1040.25,2,1.0
684559,0.0,0.25,1040.0,0,1.0
684560,0.0,0.25,1039.75,1,1.0
684561,0.0,0.0,1039.75,1,1.0
684562,-12.5,0.25,1027.0,0,1.0
684563,0.0,0.0,1027.0,0,1.0
684564,0.0,0.0,1027.0,0,1.0
684565,0.0,0.25,1026.75,1,1.0
684566,12.5,0.25,1039.0,2,1.0
684567,12.5,0.25,1051.25,1,1.0
684568,0.0,0.25,1051.0,2,1.0
684569,0.0,0.25,1050.75,1,1.0
684570,0.0,0.0,1050.75,1,1.0
684571,0.0,0.25,1050.5,2,1.0
684572,0.0,0.0,1050.5,2,1.0
684573,0.0,0.25,1050.25,0,1.0
684574,0.0,0.25,1050.0,2,1.0
684575,-12.5,0.25,1037.25,0,1.0
684576,0.0,0.25,1037.0,1,1.0
684577,0.0,0.0,1037.0,1,1.0
684578,0.0,0.0,1037.0,1,1.0
684579,0.0,0.25,1036.75,2,1.0
684580,0.0,0.0,1036.75,2,1.0
684581,0.0,0.25,1036.5,0,1.0
684582,0.0,0.25,1036.25,1,1.0
684583,0.0,0.25,1036.0,2,1.0
684584,0.0,0.25,1035.75,0,1.0
684585,0.0,0.25,1035.5,2,1.0
684586,0.0,0.25,1035.25,1,1.0
684587,0.0,0.25,1035.0,0,1.0
684588,0.0,0.25,1034.75,1,1.0
684589,0.0,0.25,1034.5,2,1.0
684590,0.0,0.0,1034.5,2,1.0
684591,0.0,0.25,1034.25,1,1.0
684592,0.0,0.0,1034.25,1,1.0
684593,0.0,0.0,1034.25,1,1.0
684594,0.0,0.25,1034.0,0,1.0
684595,0.0,0.25,1033.75,1,1.0
684596,0.0,0.25,1033.5,0,1.0
684597,0.0,0.0,1033.5,0,1.0
684598,0.0,0.25,1033.25,2,1.0
684599,0.0,0.25,1033.0,1,1.0
684600,0.0,0.25,1032.75,2,1.0
684601,0.0,0.25,1032.5,1,1.0
684602,0.0,0.0,1032.5,1,1.0
684603,0.0,0.25,1032.25,0,1.0
684604,0.0,0.0,1032.25,0,1.0
684605,0.0,0.25,1032.0,1,1.0
684606,0.0,0.0,1032.0,1,1.0
684607,12.5,0.25,1044.25,2,1.0
684608,0.0,0.25,1044.0,1,1.0
684609,0.0,0.0,1044.0,1,1.0
684610,0.0,0.0,1044.0,1,1.0
684611,0.0,0.0,1044.0,1,1.0
684612,-25.0,0.25,1018.75,2,1.0
684613,0.0,0.0,1018.75,2,1.0
684614,12.5,0.25,1031.0,1,1.0
684615,12.5,0.25,1043.25,2,1.0
684616,0.0,0.0,1043.25,2,1.0
684617,0.0,0.0,1043.25,2,1.0
684618,-25.0,0.25,1018.0,1,1.0
684619,-12.5,0.25,1005.25,2,1.0
684620,0.0,0.25,1005.0,1,1.0
684621,-12.5,0.25,992.25,2,1.0
684622,0.0,0.0,992.25,2,1.0
684623,12.5,0.25,1004.5,1,1.0
684624,0.0,0.25,1004.25,2,1.0
684625,-12.5,0.25,991.5,0,1.0
684626,0.0,0.25,991.25,2,1.0
684627,0.0,0.25,991.0,1,1.0
684628,0.0,0.25,990.75,2,1.0
684629,0.0,0.0,990.75,2,1.0
684630,12.5,0.25,1003.0,0,1.0
